Site,Web,ContentType,Value,TermStoreGroup,TermSet,DocLib,TargetField,TermPath
https://unishare.hud.ac.uk/TestUnifunctions,/COM/University-Committees,EDRMS University Committee,Human Resources Committee,EDRMS Fileplan,Committees,Human Resources Committee,University Committee Name,|Committees|University Committees
https://unishare.hud.ac.uk/TestUnifunctions,/COM/University-Committees,EDRMS University Committee,Independent Members,EDRMS Fileplan,Committees,Independent Members,University Committee Name,|Committees|University Committees
https://unishare.hud.ac.uk/TestUnifunctions,/COM/University-Committees,EDRMS University Committee,Nominations Committee,EDRMS Fileplan,Committees,Nominations Committee,University Committee Name,|Committees|University Committees
https://unishare.hud.ac.uk/TestUnifunctions,/COM/University-Committees,EDRMS University Committee,Planning and Resource Group,EDRMS Fileplan,Committees,Planning and Resource Group,University Committee Name,|Committees|University Committees
https://unishare.hud.ac.uk/TestUnifunctions,/COM/University-Committees,EDRMS University Committee,Planning and Resources Committee,EDRMS Fileplan,Committees,Planning and Resources Committee,University Committee Name,|Committees|University Committees
https://unishare.hud.ac.uk/TestUnifunctions,/COM/University-Committees,EDRMS University Committee,Teaching and Learning Development Group,EDRMS Fileplan,Committees,Teaching and Learning Development Group,University Committee Name,|Committees|University Committees
https://unishare.hud.ac.uk/TestUnifunctions,/COM/University-Committees,EDRMS University Committee,University Executive,EDRMS Fileplan,Committees,University Executive,University Committee Name,|Committees|University Committees
https://unishare.hud.ac.uk/TestUnifunctions,/COM/University-Committees,EDRMS University Committee,University Race and Religion Forum,EDRMS Fileplan,Committees,University Race and Religion Forum,University Committee Name,|Committees|University Committees
