Site,Web,ContentType,Value,TermStoreGroup,TermSet,DocLib,TargetField,TermPath
https://devunishare.hud.ac.uk,/unifunctions/COM/University-Committees/,EDRMS University Committee,Audit Committee,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/unifunctions/COM/University-Committees/,EDRMS University Committee,Employment and Finance Committee,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/unifunctions/COM/University-Committees/,EDRMS University Committee,Governance and Membership Committee,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/unifunctions/COM/University-Committees/,EDRMS University Committee,Senior Management Team,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/unifunctions/COM/University-Committees/,EDRMS University Committee,University Council,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/unifunctions/COM/University-Committees/,EDRMS University Committee,University International Committee,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/unifunctions/COM/University-Committees/,EDRMS University Committee,University Managers Group,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/unifunctions/COM/University-Committees/,EDRMS University Committee,University Timetable User Group,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
